,Evaluaciones en las tardes o sábados,,,,,,,,,,,,,,,,,,,
,Evaluaciones en horario de Clase/Ayudantía,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TIPO HORARIO,DESCRIPCION,,,,,,,,,,,,,,,,,,,
CLAS,CLASES,,,,,,,,,,,,,,,,,,,
AYUD,AYUDANTIA,,,,,,,,,,,,,,,,,,,
LABT,LABORATORIO,,,,,,,,,,,,,,,,,,,
EXAM,EXAMEN,,,,,,,,,,,,,,,,,,,
PRBA ,"PRUEBA (1, 2, 3...)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PERIODO,PLAN DE ESTUDIOS,NRC,CONECTOR  LIGA,LISTA CRUZADA,MATERIA,CURSO,SECC.,TITULO,CREDITO,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,INICIO,FIN,SALA,TIPO,PROFESOR
202220,2016,380,,U7,ICA,3202,1,TRANSFERENCIA DE CALOR,6,15:30 -17:20,,,,,,28/11/2022,28/11/2022,C-025,EXAM,GUERRERO/RUZ SICHEM 
202220,2016,380,,U7,ICA,3202,1,TRANSFERENCIA DE CALOR,6,,,13:30 -15:20,,,,08/08/2022,16/11/2022,C-117,AYUD,GUERRERO/RUZ SICHEM 
202220,2016,380,,U7,ICA,3202,1,TRANSFERENCIA DE CALOR,6,,,,09:30 -12:20,,,01/08/2022,16/11/2022,C-025,CLAS,GUERRERO/RUZ SICHEM 
202220,2016,380,,U7,ICA,3202,1,TRANSFERENCIA DE CALOR,6,,,,09:30 -12:20,,,01/09/2022,01/09/2022,C-025,PRBA 1,GUERRERO/RUZ SICHEM 
202220,2016,380,,U7,ICA,3202,1,TRANSFERENCIA DE CALOR,6,,,,09:30 -12:20,,,29/09/2022,29/09/2022,C-025,PRBA 2,GUERRERO/RUZ SICHEM 
202220,2016,380,,U7,ICA,3202,1,TRANSFERENCIA DE CALOR,6,,,,09:30 -12:20,,,20/10/2022,20/10/2022,C-025,PRBA 3,GUERRERO/RUZ SICHEM 
202220,2016,380,,U7,ICA,3202,1,TRANSFERENCIA DE CALOR,6,,,,09:30 -12:20,,,10/11/2022,10/11/2022,C-025,PRBA 4,GUERRERO/RUZ SICHEM 
202220,2022,4721,,U7,ICA,3220,1,TRANSFERENCIA DE CALOR,6,15:30 -17:20,,,,,,28/11/2022,28/11/2022,C-025,EXAM,GUERRERO/RUZ SICHEM 
202220,2022,4721,,U7,ICA,3220,1,TRANSFERENCIA DE CALOR,6,,,13:30 -15:20,,,,08/08/2022,16/11/2022,C-117,AYUD,GUERRERO/RUZ SICHEM 
202220,2022,4721,,U7,ICA,3220,1,TRANSFERENCIA DE CALOR,6,,,,09:30 -12:20,,,01/09/2022,01/09/2022,C-025,PRBA 1,GUERRERO/RUZ SICHEM 
202220,2022,4721,,U7,ICA,3220,1,TRANSFERENCIA DE CALOR,6,,,,09:30 -12:20,,,29/09/2022,29/09/2022,C-025,PRBA 2,GUERRERO/RUZ SICHEM 
202220,2022,4721,,U7,ICA,3220,1,TRANSFERENCIA DE CALOR,6,,,,09:30 -12:20,,,20/10/2022,20/10/2022,C-025,PRBA 3,GUERRERO/RUZ SICHEM 
202220,2022,4721,,U7,ICA,3220,1,TRANSFERENCIA DE CALOR,6,,,,09:30 -12:20,,,10/11/2022,10/11/2022,C-025,PRBA 4,GUERRERO/RUZ SICHEM 
202220,2022,4721,,U7,ICA,3220,1,TRANSFERENCIA DE CALOR,6,,,,09:30 -12:20,,,01/08/2022,16/11/2022,C-025,CLAS,GUERRERO/RUZ SICHEM 
202220,2016,384,,U8,ICA,3201,1,TRANSFERENCIA DE MASA,6,,09:30 -12:20,,,,,01/08/2022,16/11/2022,C-025,CLAS,VERGARA/FERNANDES ALBERTO OCTAVIO
202220,2016,384,,U8,ICA,3201,1,TRANSFERENCIA DE MASA,6,,09:30 -12:20,,,,,13/09/2022,13/09/2022,C-025,PRBA 1,VERGARA/FERNANDES ALBERTO OCTAVIO
202220,2016,384,,U8,ICA,3201,1,TRANSFERENCIA DE MASA,6,,09:30 -12:20,,,,,11/10/2022,11/10/2022,C-025,PRBA 2,VERGARA/FERNANDES ALBERTO OCTAVIO
202220,2016,384,,U8,ICA,3201,1,TRANSFERENCIA DE MASA,6,,09:30 -12:20,,,,,15/11/2022,15/11/2022,C-025,PRBA 3,VERGARA/FERNANDES ALBERTO OCTAVIO
202220,2016,384,,U8,ICA,3201,1,TRANSFERENCIA DE MASA,6,,,10:30 -12:20,,,,30/11/2022,30/11/2022,C-025,EXAM,VERGARA/FERNANDES ALBERTO OCTAVIO
202220,2016,384,,U8,ICA,3201,1,TRANSFERENCIA DE MASA,6,,,,,15:30 -17:20,,08/08/2022,16/11/2022,C-118,AYUD,VERGARA/FERNANDES ALBERTO OCTAVIO
202220,2022,4636,,U8,ICA,3210,1,TRANSFERENCIA DE MASA,6,,09:30 -12:20,,,,,01/08/2022,16/11/2022,C-025,CLAS,VERGARA/FERNANDES ALBERTO OCTAVIO
202220,2022,4636,,U8,ICA,3210,1,TRANSFERENCIA DE MASA,6,,09:30 -12:20,,,,,13/09/2022,13/09/2022,C-025,PRBA 1,VERGARA/FERNANDES ALBERTO OCTAVIO
202220,2022,4636,,U8,ICA,3210,1,TRANSFERENCIA DE MASA,6,,09:30 -12:20,,,,,11/10/2022,11/10/2022,C-025,PRBA 2,VERGARA/FERNANDES ALBERTO OCTAVIO
202220,2022,4636,,U8,ICA,3210,1,TRANSFERENCIA DE MASA,6,,09:30 -12:20,,,,,15/11/2022,15/11/2022,C-025,PRBA 3,VERGARA/FERNANDES ALBERTO OCTAVIO
202220,2022,4636,,U8,ICA,3210,1,TRANSFERENCIA DE MASA,6,,,10:30 -12:20,,,,30/11/2022,30/11/2022,C-025,EXAM,VERGARA/FERNANDES ALBERTO OCTAVIO
202220,2022,4636,,U8,ICA,3210,1,TRANSFERENCIA DE MASA,6,,,,,15:30 -17:20,,08/08/2022,16/11/2022,C-118,AYUD,VERGARA/FERNANDES ALBERTO OCTAVIO
202220,2016,4674,,,ICI,28,1,TEC. TRANSFORMACION DIGITAL,6,,15:30 -17:20,,,,,01/08/2022,16/11/2022,C-217,CLAS,BASAURE/QUINTANA ARTURO FERNANDO + JOGLAR/ESPINOSA HERNAN + PAVEZ/RETAMAL JORGE
202220,2016,4674,,,ICI,28,1,TEC. TRANSFORMACION DIGITAL,6,15:30 -17:20,,,,,,08/08/2022,16/11/2022,C-019,AYUD,BASAURE/QUINTANA ARTURO FERNANDO + JOGLAR/ESPINOSA HERNAN + PAVEZ/RETAMAL JORGE
202220,2016,4674,,,ICI,28,1,TEC. TRANSFORMACION DIGITAL,6,15:30 -17:20,,,,,,26/09/2022,26/09/2022,C-019,PRBA 1,BASAURE/QUINTANA ARTURO FERNANDO+ JOGLAR/ESPINOSA HERNAN + PAVEZ/RETAMAL JORGE
202220,2016,4674,,,ICI,28,1,TEC. TRANSFORMACION DIGITAL,6,15:30 -17:20,,,,,,14/11/2022,14/11/2022,C-019,PRBA 2,BASAURE/QUINTANA ARTURO FERNANDO+ JOGLAR/ESPINOSA HERNAN + PAVEZ/RETAMAL JORGE
202220,2016,669,,,ING,6,1,VENTURE CAPITAL,6,,,,08:30 -11:20,,,15/09/2022,15/09/2022,R-11,PRBA 1,TORREALBA/ARANGUIZ NICOLAS ALEJANDRO
202220,2016,669,,,ING,6,1,VENTURE CAPITAL,6,,,,08:30 -11:20,,,10/11/2022,10/11/2022,R-11,PRBA 2,TORREALBA/ARANGUIZ NICOLAS ALEJANDRO
202220,2016,669,,,ING,6,1,VENTURE CAPITAL,6,,,,08:30 -11:20,,,01/08/2022,16/11/2022,R-11,CLAS,TORREALBA/ARANGUIZ NICOLAS ALEJANDRO
202220,2016,387,,U9,ICA,5201,1,WASTEWATER TREATMENT,6,,,,13:30 -15:20,,,08/08/2022,16/11/2022,L.CS BS,LABT,SEAL/MERY CHRISTIAN EDWARD
202220,2016,387,,U9,ICA,5201,1,WASTEWATER TREATMENT,6,,,15:30 -17:20,,,,01/08/2022,16/11/2022,H-203,CLAS,SEAL/MERY CHRISTIAN EDWARD
202220,2016,387,,U9,ICA,5201,1,WASTEWATER TREATMENT,6,,,15:30 -17:20,,,,31/08/2022,31/08/2022,H-203,PRBA 1,SEAL/MERY CHRISTIAN EDWARD
202220,2016,387,,U9,ICA,5201,1,WASTEWATER TREATMENT,6,,,15:30 -17:20,,,,28/09/2022,28/09/2022,H-203,PRBA 2,SEAL/MERY CHRISTIAN EDWARD
202220,2016,387,,U9,ICA,5201,1,WASTEWATER TREATMENT,6,,,15:30 -17:20,,,,19/10/2022,19/10/2022,H-203,PRBA 3,SEAL/MERY CHRISTIAN EDWARD
202220,2016,387,,U9,ICA,5201,1,WASTEWATER TREATMENT,6,,,15:30 -17:20,,,,09/11/2022,09/11/2022,H-203,PRBA 4,SEAL/MERY CHRISTIAN EDWARD
202220,2016,387,,U9,ICA,5201,1,WASTEWATER TREATMENT,6,,,,12:30 -13:20,,,01/08/2022,16/11/2022,H-203,CLAS,SEAL/MERY CHRISTIAN EDWARD
202220,2022,4723,,U9,ICA,5210,1,WASTEWATER TREATMENT,6,,,,13:30 -15:20,,,08/08/2022,16/11/2022,L.CS BS,LABT,SEAL/MERY CHRISTIAN EDWARD
202220,2022,4723,,U9,ICA,5210,1,WASTEWATER TREATMENT,6,,,15:30 -17:20,,,,01/08/2022,16/11/2022,H-203,CLAS,SEAL/MERY CHRISTIAN EDWARD
202220,2022,4723,,U9,ICA,5210,1,WASTEWATER TREATMENT,6,,,15:30 -17:20,,,,31/08/2022,31/08/2022,H-203,PRBA 1,SEAL/MERY CHRISTIAN EDWARD
202220,2022,4723,,U9,ICA,5210,1,WASTEWATER TREATMENT,6,,,15:30 -17:20,,,,28/09/2022,28/09/2022,H-203,PRBA 2,SEAL/MERY CHRISTIAN EDWARD
202220,2022,4723,,U9,ICA,5210,1,WASTEWATER TREATMENT,6,,,15:30 -17:20,,,,19/10/2022,19/10/2022,H-203,PRBA 3,SEAL/MERY CHRISTIAN EDWARD
202220,2022,4723,,U9,ICA,5210,1,WASTEWATER TREATMENT,6,,,15:30 -17:20,,,,09/11/2022,09/11/2022,H-203,PRBA 4,SEAL/MERY CHRISTIAN EDWARD
202220,2022,4723,,U9,ICA,5210,1,WASTEWATER TREATMENT,6,,,,12:30 -13:20,,,01/08/2022,16/11/2022,H-203,CLAS,SEAL/MERY CHRISTIAN EDWARD
202220,2020,5749,,ING,ICC,22,1,PROCESAMIENTO DIGITAL DE IMAG,6,10:30 -12:20,,,,,,01/08/2022,16/11/2022,H-219,CLAS,DELPIANO/COSTABAL JOSE FRANCISCO
202220,2020,5749,,ING,ICC,22,1,PROCESAMIENTO DIGITAL DE IMAG,6,,,,13:30 -15:20,,,24/11/2022,24/11/2022,H-219,EXAM,DELPIANO/COSTABAL JOSE FRANCISCO
,PEG Arte,1655,,,CEG,2038,1,APRENDIENDO A VER CINE,6,,,,,10:30 -12:20,,,,,CLAS,CUBILLOS/MUNOZ BERNARDITA MARIA
,PEG Arte,1657,,,CEG,2027,1,RELAT. POLICIAL Y EL TEM,6,,17:30 -19:20,,,,,,,,CLAS,FRANKEN/KURZEN CLEMENS AUGUST
,PEG Arte,1658,,,CEG,2021,1,POESIA Y EXPER. HUMANA,6,,,17:30 -19:20,,,,,,,CLAS,GAVILAN/MUÑOZ ISMAEL
,PEG Arte,1659,,,CEG,2024,1,ARTE Y CULTURA GRIEGA,6,,17:30 -19:20,,,,,,,,CLAS,MERINO/MARCHANT EMMA VERONICA
,PEG Arte,1660,,,CEG,2011,1,REVOL. ART. DEL RENACIM.,6,,,17:30 -19:20,,,,,,,CLAS,MERINO/MARCHANT EMMA VERONICA
,PEG Arte,1663,,,CEG,2036,1,DE ULISES A LUKE SKYWALK,6,,,17:30 -19:20,,,,,,,CLAS,FERNANDEZ/QUIROGA MARIA ALEJANDRA
,PEG Arte,4000,,,CEG,2049,1,LECTURA DE CLASICOS (LIT),6,,,,,10:30 -12:20,,,,,CLAS,COX/CRUZAT CLEMENTE JOSE
,PEG Arte,5320,,,CEG,2053,1,APRECIACION PINTURA OCC,6,,,,,10:30 -12:20,,,,,CLAS,DEL ROSSO/DE VIGO CRISTINA
,PEG Arte,5389,,,CEG,2051,1,LA BELLEZA EN EL ARTE,6,,17:30 -19:20,,,,,,,,CLAS,TORRES/RODRIGUEZ ANDREA
,PEG Arte,5390,,,CEG,2051,2,LA BELLEZA EN EL ARTE,6,,,17:30 -19:20,,,,,,,CLAS,TORRES/RODRIGUEZ ANDREA
,PEG Arte,5417,,,CEG,2052,1,APRECIACION DE LA ARQUIT,6,,,,,10:30 -12:20,,,,,CLAS,OSORIO/ARMSTRONG AARON
,PEG Arte,5448,,,CEG,2052,2,APRECIACION DE LA ARQUIT,6,,17:30 -19:20,,,,,,,,CLAS,OSORIO/ARMSTRONG AARON
,PEG Arte,1653,,,CEG,2042,1,DE BACH AL ROCK,6,,,,,10:30 -12:20,,,,,CLAS,CANTON/EDGARDO
,PEG Historia,1671,,,CEG,1033,1,GRANDES EXPLORADORES,6,,,17:30 -19:20,,,,,,,CLAS,OLIVARES/SALAS CHRISTIAN ALFREDO
,PEG Historia,1672,,,CEG,1022,1,GRANDES BATALLAS,6,,17:30 -19:20,,,,,,,,CLAS,OLIVARES/SALAS CHRISTIAN ALFREDO
,PEG Historia,1674,,,CEG,1000,1,HEROES HIST. CHILE,6,,,17:30 -19:20,,,,,,,CLAS,ESCOBAR/SANTIS RODRIGO
,PEG Historia,1676,,,CEG,1040,1,MITOLOGIA EUROPEA,6,,,,,10:30 -12:20,,,,,CLAS,OLIVARES/SALAS CHRISTIAN ALFREDO
,PEG Historia,1677,,,CEG,1138,1,TERRORISMO Y GLOBALIZ.,6,,,,,10:30 -12:20,,,,,CLAS,HODGE/DUPRE EDUARDO ANDRES
,PEG Historia,4011,,,CEG,1046,1,ACTUALIDAD INTERNACIONAL,6,,,,,10:30 -12:20,,,,,CLAS,DEBESA/CASTRO HERNAN RAMON
,PEG Historia,4039,,,CEG,1050,1,AM. LAT.: POLIT. Y NACIO,6,,17:30 -19:20,,,,,,,,CLAS,HINRICHSEN/HERRERA ALFRED THOMAS
,PEG Historia,5372,,,CEG,1051,1,ARTE Y POLITICA,6,,,17:30 -19:20,,,,,,,CLAS,WOOLVETT/ORTUZAR ANA MARIA
,PEG Historia,5373,,,CEG,1052,1,LIBERALISMO EN LA HISTOR,6,,,,,10:30 -12:20,,,,,CLAS,DIAZ/RIVERO ALBERTO JAVIER
,PEG Historia,5388,,,CEG,1148,1,HISTORIA DE LA MUSICA,6,,17:30 -19:20,,,,,,,,CLAS,VIVEROS/GODOY MARIA DE LOS ANGELES
,Teología III,2208,,,FRM,0026,1,CREACION Y CUIDADO DEL MUNDO,6,,,,,10:30 -12:20,,,,,CLAS,LEMAITRE/PALMA MARIA ISABEL
,Teología III,4373,,,FRM,0036,1,DESAFIOS SOCIALES CRISTIANISMO,6,,,17:30 -19:20,,,,,,,CLAS,PARDO/CADENA JORGE MIGUEL
,Teología III,2199,,,FRM,0002,1,LOS VICIOS CAPITALES,6,,,17:30 -19:20,,,,,,,CLAS,GONZALEZ/VIDAL NICOLAS
,Teología III,4135,,,FRM,0028,1,MUNDO: REALIDAD DIVINA,6,,17:30 -19:20,,,,,,,,CLAS,UNDURRAGA/SCHULER FRANCISCA
,Teología III,5439,,,FRM,0028,2,MUNDO: REALIDAD DIVINA,6,,,,,10:30 -12:20,,,,,CLAS,UNDURRAGA/SCHULER FRANCISCA
,Teología III,4136,,,FRM,0031,1,CRISTIANOS EN LA SOCIEDAD,6,,17:30 -19:20,,,,,,,,CLAS,SOUSA/BRAVO GABRIELA
,Teología III,5440,,,FRM,0022,1,"MUNDO, TRABAJO Y REDENCION",6,,,,,10:30 -12:20,,,,,CLAS,AMADO/FERNANDEZ ANTONIO
,Teología III,5661,,,FRM,38,1,COMENTARIO DEL GENESIS,6,,,17:30 -19:20,,,,,,,CLAS,GOLDENBERG/FRANCISCO
,Teología III,5663,,,FRM,39,1,PASCUA JUDIA Y MISA CRISTIANA,6,,,,,10:30 -12:20,,,,,CLAS,GOLDENBERG/FRANCISCO
,Teología III,5664,,,FRM,40,1,LECTURAS DEL NUEVO TESTAMENTO,6,,17:30 -19:20,,,,,,,,CLAS,AMADO/FERNANDEZ ANTONIO
,Teología III,5709,,,FRM,25,1,TEMAS TEOLOGICOS DE SAN JUAN,6,,,"17,30 - 19,20",,,,,,,CLAS,JORGE HERRERA
,Minor,1638,,,CEM,0036,1,DESDE LA MUSICA ROMANTICA HAST,6,,,17:30 -19:20,,,,,,,CLAS,PEREZ/TORRES JORGE ANTONIO
,Minor,1639,,,CEM,0034,1,INTR. A LA LECTURA Y TEORIA MU,6,,17:30 -19:20,,,,,,,,CLAS,CARRASCO/DAVID
,Minor,1640,,,CEM,0033,1,LIBERTAD Y DONACION,6,,,,,10:30 -12:20,,,,,CLAS,WILLIAMS/DE TORO JAIME ANDRES
,Minor,4009,,,CEM,0041,1,FILOSOFIA POLITICA MODERNA,6,,17:30 -19:20,,,,,,,,CLAS,GUERRA/DIAZ SEBASTIAN ANTONIO
